"","type","category","contrast","id","name","formula","flag","log2FoldChange","padj","label","bar_start","bar_stop","bar_label","bar_y"
"77","all","type","digesta_v_tissue","RP_pos_218_13875a1_139","Propionyl-L-carnitine","C10H19NO4","good_msms",8.77273359138728,1.85357993645048e-05,"RP_pos_218_13875a1_139
Propionyl-L-carnitine","digesta","tissue","8.77 ***",23.9287913377161
"78","all","type","digesta_v_tissue","RP_pos_218_13911a1_281","CAR 3:0","C10H19NO4","curated",8.56546050674101,1.13888011659074e-05,"RP_pos_218_13911a1_281
CAR 3:0","digesta","tissue","8.57 ***",24.748375517591
"79","all","type","digesta_v_tissue","RP_pos_219_12276a5_12",NA,NA,"good_msms",-1.05597237956259,0.0240711340482433,"RP_pos_219_12276a5_12
not annotated","digesta","tissue","-1.06 *",16.6805815605166
"80","all","type","digesta_v_tissue","RP_pos_220_09708a4_607",NA,NA,"good_msms",3.26457121348712,0.00113866854447786,"RP_pos_220_09708a4_607
not annotated","digesta","tissue","3.26 **",18.9596918307223
"81","all","type","digesta_v_tissue","RP_pos_220_11855a2_284","Pantothenic Acid","C9H17NO5","good_msms",2.72363996865767,4.14975981633619e-09,"RP_pos_220_11855a2_284
Pantothenic Acid","digesta","tissue","2.72 ***",21.6781491102831
"82","all","type","digesta_v_tissue","RP_pos_221_11078a3_76",NA,NA,"good_msms",3.70323375586664,1.23994724411962e-07,"RP_pos_221_11078a3_76
not annotated","digesta","tissue","3.7 ***",24.4754490267481
"83","all","type","digesta_v_tissue","RP_pos_223_10808a2_116",NA,NA,"good_msms",1.04718527835176,0.00197889046775459,"RP_pos_223_10808a2_116
not annotated","digesta","tissue","1.05 **",18.0923489641942
"84","all","type","digesta_v_tissue","RP_pos_223_10809a2_456",NA,NA,"good_msms",1.93032222628182,3.74764301569804e-05,"RP_pos_223_10809a2_456
not annotated","digesta","tissue","1.93 ***",18.4163235250517
"85","all","type","digesta_v_tissue","RP_pos_223_14165a4_846",NA,NA,"good_msms",2.48794541760605,0.00100613104204257,"RP_pos_223_14165a4_846
not annotated","digesta","tissue","2.49 **",17.3449568600059
"86","all","type","digesta_v_tissue","RP_pos_223_16884a4_419",NA,NA,"good_msms",-1.14062579820496,0.0463876687404386,"RP_pos_223_16884a4_419
not annotated","digesta","tissue","-1.14 *",18.760718700105
"87","all","type","digesta_v_tissue","RP_pos_224_07799a1_799",NA,NA,"good_msms",1.61778044688311,0.0180829864194729,"RP_pos_224_07799a1_799
not annotated","digesta","tissue","1.62 *",16.7675724986304
"88","all","type","digesta_v_tissue","RP_pos_224_08421a3_652",NA,NA,"good_msms",3.1693365194617,4.98725816911917e-05,"RP_pos_224_08421a3_652
not annotated","digesta","tissue","3.17 ***",21.8482698868977
"89","all","type","digesta_v_tissue","RP_pos_224_11079a3_25",NA,NA,"good_msms",3.56365609282591,3.60789003741624e-05,"RP_pos_224_11079a3_25
not annotated","digesta","tissue","3.56 ***",23.5525555427066
"90","all","type","digesta_v_tissue","RP_pos_225_11224a4_388",NA,NA,"good_msms",-1.23936713878605,0.0133582104147515,"RP_pos_225_11224a4_388
not annotated","digesta","tissue","-1.24 *",21.6610887267982
"91","all","type","digesta_v_tissue","RP_pos_226_10614a3_238",NA,NA,"good_msms",2.23104443577434,0.000169201451702342,"RP_pos_226_10614a3_238
not annotated","digesta","tissue","2.23 ***",19.1696189597629
"92","all","type","digesta_v_tissue","RP_pos_226_12627a4_002",NA,NA,"good_msms",3.42016387109366,0.000163102313255322,"RP_pos_226_12627a4_002
not annotated","digesta","tissue","3.42 ***",18.7542557754281
"93","all","type","digesta_v_tissue","RP_pos_226_15498a5_797",NA,NA,"good_msms",4.49912509706023,0.000275030053341188,"RP_pos_226_15498a5_797
not annotated","digesta","tissue","4.5 ***",16.4719741090549
"94","all","type","digesta_v_tissue","RP_pos_227_12794a4_789",NA,NA,"good_msms",-1.06493525924569,0.00636492550491897,"RP_pos_227_12794a4_789
not annotated","digesta","tissue","-1.06 **",19.2829294123155
"95","all","type","digesta_v_tissue","RP_pos_227_13916a6_588",NA,NA,"good_msms",2.51164465406444,0.000172787223217777,"RP_pos_227_13916a6_588
not annotated","digesta","tissue","2.51 ***",21.6719800157831
"96","all","type","digesta_v_tissue","RP_pos_227_17543a3_179",NA,NA,"good_msms",2.80288639234947,0.0181678302313784,"RP_pos_227_17543a3_179
not annotated","digesta","tissue","2.8 *",20.0138636955569
"97","all","type","digesta_v_tissue","RP_pos_227_1757a2_756",NA,NA,"good_msms",3.6722704338219,0.0133532551420987,"RP_pos_227_1757a2_756
not annotated","digesta","tissue","3.67 *",19.629125776083
"98","all","type","digesta_v_tissue","RP_pos_229_11803a8_373",NA,NA,"good_msms",-1.20219251826188,0.00631861184064512,"RP_pos_229_11803a8_373
not annotated","digesta","tissue","-1.2 **",17.1219816183647
"99","all","type","digesta_v_tissue","RP_pos_231_1228a5_907",NA,NA,"good_msms",-1.86281677342014,0.00437682447767908,"RP_pos_231_1228a5_907
not annotated","digesta","tissue","-1.86 **",14.1589318952326
"100","all","type","digesta_v_tissue","RP_pos_231_12288a4_597",NA,NA,"good_msms",-1.28191138657213,0.0175386044290295,"RP_pos_231_12288a4_597
not annotated","digesta","tissue","-1.28 *",16.5627156060571
"101","all","type","digesta_v_tissue","RP_pos_231_17076a2_789","VL put","C11H22N2O3","good_msms",1.44460001510242,0.00116987024173412,"RP_pos_231_17076a2_789
VL put","digesta","tissue","1.44 **",19.0945257430234
"102","all","type","digesta_v_tissue","RP_pos_232_04549a1_299",NA,NA,"good_msms",-1.98617155337615,0.000227708009164241,"RP_pos_232_04549a1_299
not annotated","digesta","tissue","-1.99 ***",18.3545315391345
"103","all","type","digesta_v_tissue","RP_pos_232_13651a7_235",NA,NA,"good_msms",8.30435275138853,0.000429522859978114,"RP_pos_232_13651a7_235
not annotated","digesta","tissue","8.3 ***",18.3001646032744
"104","all","type","digesta_v_tissue","RP_pos_232_15474a1_988","CAR 4:0","C11H21NO4","curated",9.67723062567974,8.81503447231331e-10,"RP_pos_232_15474a1_988
CAR 4:0","digesta","tissue","9.68 ***",26.1406831704782
"105","all","type","digesta_v_tissue","RP_pos_233_09218a3_827",NA,NA,"good_msms",4.18787593755155,7.81526822177707e-05,"RP_pos_233_09218a3_827
not annotated","digesta","tissue","4.19 ***",16.8457618526534
"106","all","type","digesta_v_tissue","RP_pos_233_14954a2_144","TL put",NA,"good_msms",2.27323505042577,0.000136276009183962,"RP_pos_233_14954a2_144
TL put","digesta","tissue","2.27 ***",18.9956871209843
"107","all","type","digesta_v_tissue","RP_pos_235_09019a6_592",NA,NA,"good_msms",2.43737826941443,0.0161585186825339,"RP_pos_235_09019a6_592
not annotated","digesta","tissue","2.44 *",16.9805770671446
"108","all","type","digesta_v_tissue","RP_pos_235_10831a4_807",NA,NA,"good_msms",-1.06417066093853,0.00623398397180798,"RP_pos_235_10831a4_807
not annotated","digesta","tissue","-1.06 **",20.6030267474789
"109","all","type","digesta_v_tissue","RP_pos_236_1131a1_245",NA,NA,"good_msms",-1.24928671607369,0.0032822530794371,"RP_pos_236_1131a1_245
not annotated","digesta","tissue","-1.25 **",18.1911648100643
"110","all","type","digesta_v_tissue","RP_pos_236_14928a5_12",NA,NA,"good_msms",-1.12588487230291,0.0181663510820694,"RP_pos_236_14928a5_12
not annotated","digesta","tissue","-1.13 *",17.5544314255878
"111","all","type","digesta_v_tissue","RP_pos_237_10542a2_575",NA,NA,"good_msms",3.97413900374325,0.00202361386290769,"RP_pos_237_10542a2_575
not annotated","digesta","tissue","3.97 **",19.7733921484032
"112","all","type","digesta_v_tissue","RP_pos_237_1236a2_526",NA,NA,"good_msms",2.0018555237443,2.70879191596119e-06,"RP_pos_237_1236a2_526
not annotated","digesta","tissue","2 ***",17.6166709360857
"113","all","type","digesta_v_tissue","RP_pos_237_22124a9_53",NA,NA,"good_msms",-1.09211636468716,0.0167950324290661,"RP_pos_237_22124a9_53
not annotated","digesta","tissue","-1.09 *",18.3813625682693
"114","all","type","digesta_v_tissue","RP_pos_238_10017a3_67",NA,NA,"good_msms",3.534079462178,0.000168254261994321,"RP_pos_238_10017a3_67
not annotated","digesta","tissue","3.53 ***",23.5677998129068
"115","all","type","digesta_v_tissue","RP_pos_240_07808a3_385",NA,NA,"good_msms",2.23116231534847,0.0274943022800126,"RP_pos_240_07808a3_385
not annotated","digesta","tissue","2.23 *",17.8553876361539
"116","all","type","digesta_v_tissue","RP_pos_240_07867a2_163",NA,NA,"good_msms",2.37588565829564,0.00462584411557109,"RP_pos_240_07867a2_163
not annotated","digesta","tissue","2.38 **",19.7836038683577
"117","all","type","digesta_v_tissue","RP_pos_240_09731a3_669",NA,NA,"good_msms",3.38801566785261,0.000273519897521676,"RP_pos_240_09731a3_669
not annotated","digesta","tissue","3.39 ***",22.0289480794906
"118","all","type","digesta_v_tissue","RP_pos_240_10545a2_504",NA,NA,"good_msms",5.64099753088162,0.00300449279365762,"RP_pos_240_10545a2_504
not annotated","digesta","tissue","5.64 **",19.9254451879541
"119","all","type","digesta_v_tissue","RP_pos_241_14314a5_229",NA,NA,"good_msms",-1.12396264072286,0.00483526987952082,"RP_pos_241_14314a5_229
not annotated","digesta","tissue","-1.12 **",18.2742111192189
"120","all","type","digesta_v_tissue","RP_pos_242_01057a2_537",NA,NA,"good_msms",-1.05737615863408,0.0355582320594448,"RP_pos_242_01057a2_537
not annotated","digesta","tissue","-1.06 *",17.3625813350185
"121","all","type","digesta_v_tissue","RP_pos_242_10011a2_268",NA,NA,"good_msms",2.05130049226771,1.06529944828802e-08,"RP_pos_242_10011a2_268
not annotated","digesta","tissue","2.05 ***",18.9515927556406
"122","all","type","digesta_v_tissue","RP_pos_242_11328a1_91",NA,NA,"good_msms",-3.35467202002881,0.00317204871364382,"RP_pos_242_11328a1_91
not annotated","digesta","tissue","-3.35 **",18.4151540886288
"123","all","type","digesta_v_tissue","RP_pos_243_12285a4_396",NA,NA,"good_msms",-1.35548795086399,0.00894859879558113,"RP_pos_243_12285a4_396
not annotated","digesta","tissue","-1.36 **",21.7101201508726
"124","all","type","digesta_v_tissue","RP_pos_243_123a5_188",NA,NA,"good_msms",-1.40301354933918,0.00303819608470984,"RP_pos_243_123a5_188
not annotated","digesta","tissue","-1.4 **",14.6399288520785
"125","all","type","digesta_v_tissue","RP_pos_244_1541a2_537","Tiglylcarnitine","C12H21NO4","good_msms",6.38871210776547,2.77109613270819e-06,"RP_pos_244_1541a2_537
Tiglylcarnitine","digesta","tissue","6.39 ***",18.9672725344048
"126","all","type","digesta_v_tissue","RP_pos_245_14961a7_169",NA,NA,"good_msms",6.10217267118749,0.000126313545429266,"RP_pos_245_14961a7_169
not annotated","digesta","tissue","6.1 ***",22.7584427257917
