"","C001I","C001K","C002I","C002K","C004I","C004K","C005K","C006I","C006K","C007I","C007K","C008I","C008K","C009I","C009K"
"RP_pos_469_29297a14_1",22.5704111754802,8.46352437327118,23.295768374006,10.6402449362223,21.51654501603,9.19229281447077,10.1510165388922,20.8572080285313,8.93663793900257,22.6408322921367,13.9061389961954,22.8426006744786,12.6320864128352,21.6103053134694,9.8610869059954
"RP_pos_469_29315a13_856",19.7182970676659,10.7540523675289,20.3807400664778,12.3909750061555,17.5052378098141,12.7573900093666,9.55650605467193,17.1710594878868,8.40514146313634,20.1737064114739,14.2268637169824,19.3204347880696,13.5848450891206,17.8388222936604,11.6510516911789
"RP_pos_469_36548a11_567",20.1588167531049,15.6923158171445,20.0607895902702,16.4989270969999,20.6917085948327,17.4966197572668,17.8616564060336,20.560666821849,17.1696314545227,20.7604145897428,17.3099914086128,20.3773937793249,17.3455871661893,20.6682158698553,17.361703944121
"RP_pos_470_26465a5_511",16.1859400839745,14.5740021376835,15.6861722066718,14.4165996315758,15.9439799143437,14.482555891549,15.4264940893368,17.0640269646657,15.2172004173675,16.3266050380456,15.8812812837078,16.7774479699349,15.1382317958731,16.7243672953155,15.6107365062285
"RP_pos_470_27261a3_035",11.9901039638575,17.657241678743,9.6724253419715,17.2400552656244,13.0356582722941,17.7178771998611,17.3492639484456,10.2761244052742,17.2408285913668,11.115693952197,17.0808695629349,11.9854861991046,18.2433134699847,10.806549621986,17.010309552154
"RP_pos_470_42023a12_077",19.5847661978344,14.7825375701451,20.5103450153732,16.175140167603,18.1224438180193,14.3837042924741,16.6832413739958,19.5558136092482,15.5498448190889,20.1397511799599,17.4397821960972,20.4994167369992,17.0299342237834,18.1911315248773,14.5996804305812
"RP_pos_471_28177a6_066",10.6284455401372,9.98868468677217,10.9600019320681,12.3108967487977,11.8665062122262,8.89178370321831,11.9654235658101,11.5152070304088,11.3145832442742,10.523561956057,10.951284714967,12.3578268822108,10.7456743240021,14.3197426735568,14.3524572995848
"RP_pos_471_30643a7_645",15.6070701890308,12.6971847832245,15.3946301597048,13.7999898416902,14.056383697146,12.158294103604,13.0796514441448,15.2655051701152,12.2360141919001,16.4330800703536,13.4460494067166,16.3733919664535,15.0992245119166,14.3807992416548,14.0334230015375
"RP_pos_471_30804a14_619",18.3318747747321,8.43462822763673,19.7773131143162,8.37937836707126,17.245664112712,9.47167521439204,9.31741261376487,17.4572766621398,10.1176431013891,18.3560306412025,9.26912667914942,18.6121989881246,8.68650052718322,17.1030111287146,8.63662462054365
"RP_pos_471_38382a11_473",15.6781324417356,10.2656150464845,15.2228703556565,12.647233549977,15.7917479488365,11.2342186782385,9.94982671075911,15.9734955829355,12.1513337192917,15.5570747341971,12.8715202623291,16.2522034299994,10.8509681509824,15.4449178177419,11.1098306542788
"RP_pos_471_38388a11_605",15.412139779144,11.9487322398196,14.8309607811939,12.3168471836025,15.8200293388822,12.6245670186749,10.590587049915,15.6871022541319,11.6073303137496,15.1525225251168,12.9393955601816,15.5835823105649,12.0508689632907,14.5449040778186,11.911017407797
"RP_pos_472_25089a10_004",17.3803680526345,16.475131760451,16.8933133826047,16.1689071166463,14.0443087300512,13.0886226306078,18.3596637810979,16.4131155173545,15.8163837084747,16.6743164237519,16.4720244160848,16.5539892028719,15.1618011004457,17.9039936107415,17.9651304153182
"RP_pos_472_30338a8_908",14.6537407787066,18.3392584991274,14.3998786997805,19.1468048165872,15.1371912945503,15.2560980933971,17.2157415323696,14.569855608331,15.1341455192834,15.5705969346105,17.8436696075857,15.7111023021777,19.9189884011026,15.8093159598304,17.1024986187478
"RP_pos_472_30392a8_081",15.3670392849665,18.6839369583534,13.4632689159813,17.3374302639095,14.385458001188,14.211279947482,17.2188280793072,15.4827764509878,15.5184072766714,15.517761644843,17.2590627948621,15.5295220618395,19.498260997727,15.3643740809213,16.5755392468345
"RP_pos_472_4357a12_659",17.622159090738,10.3026389237876,18.7004735850964,11.9560130780881,15.775095822586,9.82495874052852,12.5538692431961,17.6147817240529,8.74483383749955,18.2703637725508,12.2977760628941,17.6448279908924,11.9042582828005,16.0172869017436,10.403012023575
"RP_pos_473_19528a2_308",11.6379833037779,9.08746284125034,11.036860446673,11.6361714416359,12.7903484967519,11.4120405145517,12.3616696794928,11.9592775057205,11.0202855008446,11.2755425560867,13.0001760994864,12.5693809595223,9.82654848729091,12.2018176166679,11.2767060198924
"RP_pos_473_32574a7_013",17.6465938658554,15.8460045073708,16.9467349716574,15.4517906496726,15.851090192978,14.5274159150379,17.5225968555174,13.9127957974715,12.9829935746943,14.253773635071,14.3399891450018,18.1161103979492,16.5836557581933,17.3261924594861,16.1058675967206
"RP_pos_473_32632a7_798",16.0436895063819,15.5830533772296,15.5772517848955,14.6204489520133,14.9532415907069,12.2862689626798,17.0877943047879,17.08858122561,16.1305504537357,19.0759047544437,18.7315576924482,15.8704610501708,14.918583762562,16.0103969776201,15.3010674382185
