"","C001H","C002H","C003H","C004H","C005H","C006H","C007H","C008H","C009H"
"HVCN1",10,34,101,100,5,25,11,15,32
"PPP1CC",1127,918,1058,474,1141,754,1275,1157,1872
"CCDC63",0,4,0,0,0,0,2,0,0
"MYL2",14,8,0,0,0,0,0,0,5
"CUX2",9,16,20,7,38,53,15,46,110
"FAM109A",327,264,305,272,146,158,186,450,516
"SH2B3",5,38,44,30,34,11,59,22,52
"ATXN2",388,242,268,241,418,102,345,401,445
"BRAP",314,256,349,399,207,333,313,420,535
"ACAD10",176,247,438,251,189,81,179,134,230
"CIT",35,59,49,22,53,62,26,14,24
"LOC110256794",14,35,49,88,27,76,22,69,21
"PRKAB1",583,683,977,802,533,579,744,1017,1456
"TMEM233",0,29,32,28,0,66,7,19,9
"CCDC60",7,4,25,0,0,1,3,11,29
"HSPB8",383,483,401,292,400,524,337,554,915
"SRRM4",0,2,17,10,0,6,0,13,0
"LOC110256682",0,6,19,0,0,0,0,0,0
"LOC100156825",0,0,3,0,18,15,0,0,0
"SUDS3",579,480,225,241,222,306,445,852,946
"TAOK3",1655,969,1239,868,654,924,1611,2985,2404
"PEBP1",4774,5792,6283,3476,5619,5749,4546,5133,8906
"VSIG10",444,232,376,336,269,272,563,530,1550
"WSB2",1596,1564,1741,1601,1608,1215,2040,2356,4408
"RFC5",135,119,69,49,57,22,120,70,123
"KSR2",0,0,11,0,0,13,0,6,0
"LOC110256852",0,0,0,0,0,0,0,0,0
"NOS1",0,1,30,22,0,33,7,13,25
"FBXO21",190,225,279,104,154,151,177,185,264
"LOC110256789",0,0,0,26,0,23,1,0,0
"TESC",13,53,57,7,127,87,43,78,87
"FBXW8",0,0,8,17,0,0,4,0,35
"HRK",0,4,2,0,0,0,0,0,0
"RNFT2",17,4,13,0,29,7,12,0,12
"C14H12orf49",269,262,276,181,341,346,252,488,395
"MED13L",280,208,238,384,282,229,372,356,248
"LOC106505934",0,0,7,0,0,0,1,0,14
"LOC110256790",0,0,27,0,0,4,8,15,44
"LOC110256791",111,83,317,431,244,145,235,307,516
"TBX3",95,268,170,268,122,221,293,370,494
"LOC100157987",0,0,0,0,0,0,0,0,1
"LOC106505937",0,0,0,0,0,0,0,0,0
"TBX5",0,0,7,0,0,13,8,0,0
"RBM19",209,159,507,232,213,343,309,250,438
"LHX5",0,0,0,0,0,0,0,0,0
"SDSL",0,0,13,0,0,0,1,0,0
"SDS",169,86,117,42,643,18,605,96,140
"PLBD2",58,131,183,161,99,113,165,232,224
"DTX1",43,13,23,0,15,8,53,55,141
"RASAL1",9,5,10,8,0,5,3,0,3
"CFAP73",0,0,7,35,0,0,0,0,0
"DDX54",329,341,530,211,245,167,348,480,629
"RITA1",92,99,155,88,46,14,83,232,192
"IQCD",16,38,38,15,45,35,20,18,84
"TPCN1",217,170,110,94,80,151,142,147,363
"SLC8B1",239,218,352,249,198,103,295,603,570
"OAS2",6893,2009,4580,18477,1377,3647,5064,8119,7989
"OAS1",13034,2846,2949,23161,2224,5500,7320,11685,13518
"RPH3A",17,0,2,16,0,6,7,15,11
"PTPN11",469,488,484,526,506,390,705,580,1020
"RPL6",26889,29711,34262,22524,32624,46207,21197,28769,42983
"HECTD4",273,271,344,369,119,112,250,310,377
"LOC110256658",0,0,0,0,0,0,0,0,0
"TRAFD1",468,458,367,485,279,217,617,708,626
"NAA25",143,196,158,66,72,214,221,125,204
"ERP29",908,955,1051,558,750,572,756,621,1030
"TMEM116",0,0,7,0,0,6,0,0,6
"LOC100737404",0,0,1,0,0,0,0,0,0
"LOC110256875",0,0,0,0,0,0,0,0,0
"MAPKAPK5",249,330,297,157,44,237,227,285,312
"LOC102160475",39,30,80,30,77,14,26,43,21
"ALDH2",386,413,371,484,283,263,422,569,664
"BICDL1",3,0,40,0,63,4,108,20,33
"RAB35",425,214,330,269,134,72,464,689,684
"GCN1",572,545,1250,775,786,1103,645,767,1090
"RPLP0",14592,20814,28539,18041,17917,17876,17305,25807,30706
"PXN",1102,466,513,782,604,369,847,1229,1970
"LOC102165911",32,17,30,32,53,59,11,42,4
"SIRT4",0,35,20,30,18,17,40,26,42
"PLA2G1B",0,0,0,0,0,9,0,0,0
"MSI1",19,31,14,0,0,22,10,22,24
"COX6A1",17813,18438,17366,18450,17771,13005,15261,23124,33649
"TRIAP1",1585,1909,1690,950,1197,1074,1340,1538,2765
"GATC",1404,1505,2711,2114,1696,1907,2254,1552,1978
"SRSF9",1079,626,818,613,752,513,787,1180,1589
"DYNLL1",5822,3945,2588,2830,3047,4238,3651,4873,9095
"COQ5",606,652,822,664,721,645,734,661,1134
"RNF10",2550,1963,2241,2172,1303,1441,2468,4549,4470
"LOC102166523",2,0,4,18,20,0,3,8,8
"POP5",303,197,247,237,166,222,264,181,378
"LOC110256625",0,4,0,0,0,0,3,0,0
"CABP1",9,1,14,12,0,14,12,29,7
"MLEC",716,526,682,397,1068,574,828,700,1567
"UNC119B",420,452,437,338,278,333,434,385,972
"ACADS",2960,1711,2919,2542,2236,1601,2320,2875,5654
"SPPL3",351,626,675,444,483,190,461,824,822
"HNF1A",114,83,268,241,84,74,132,82,241
"C14H12orf43",202,89,204,138,145,82,157,198,241
"OASL",4219,813,824,8806,248,4083,2240,4957,1997
"LOC100522281",14,16,57,41,0,43,29,75,61
"LOC100517973",138,138,127,43,23,66,54,129,193
"ANKRD13A",1238,968,1286,627,573,494,831,1598,1633
"GIT2",538,318,387,290,328,161,357,486,553
"TCHP",79,58,53,10,105,45,55,48,59
"GLTP",1357,1738,1696,1689,1343,875,1911,3532,3080
"TRPV4",0,18,21,15,0,15,8,4,38
"FAM222A",0,5,7,5,0,0,4,0,0
"LOC110256742",0,0,5,6,0,0,0,0,0
"MVK",131,88,133,93,107,86,111,144,318
"MMAB",276,195,239,199,98,178,148,269,365
"UBE3B",313,290,458,329,156,161,359,460,865
"KCTD10",340,422,282,259,452,240,544,663,1263
"MYO1H",0,7,5,0,0,5,3,0,0
"FOXN4",0,0,0,0,0,0,0,0,0
"ACACB",71,44,50,9,69,42,5,1,37
"UNG",281,205,281,181,234,100,213,218,345
"ALKBH2",14,17,17,0,19,4,10,23,12
"USP30",79,35,47,28,19,82,41,126,58
"SVOP",0,7,19,19,0,23,18,0,9
"DAO",37,231,1337,51,236,67,4,432,42
"SSH1",128,81,201,59,74,82,92,116,158
"LOC110256864",0,0,0,0,0,0,0,0,0
"CORO1C",570,857,745,438,910,905,755,711,1088
"SELPLG",61,53,180,96,145,80,118,124,209
"TMEM119",155,203,206,157,173,184,168,238,443
"LOC106507249",0,0,0,0,0,0,0,2,0
"ISCU",939,1460,1208,806,1416,995,1059,1600,1734
"SART3",491,634,523,267,437,280,421,458,602
"FICD",84,90,122,60,79,38,87,96,128
"LOC106505951",0,0,0,0,0,0,0,0,0
"LOC106505952",0,0,0,0,0,0,0,0,0
"CMKLR1",88,62,72,73,30,57,92,121,197
"WSCD2",9,21,21,23,39,25,8,27,35
"LOC110256611",0,0,0,0,0,0,3,0,0
"LOC110256855",0,7,0,0,0,0,3,0,9
"PIWIL3",20,0,4,0,0,17,12,0,20
"SGSM1",124,67,41,35,40,22,75,16,130
"TMEM211",0,0,0,0,0,0,0,0,0
"KIAA1671",1064,411,454,577,496,372,1201,1625,1889
"LOC110256758",3,5,3,0,0,0,10,0,0
"CRYBB3",26,20,21,43,0,64,52,92,43
"CRYBB2",0,0,6,0,15,53,10,15,57
"LOC110256814",0,0,0,0,0,0,0,16,0
"GRK3",136,77,163,144,91,102,149,211,159
"LOC110256776",0,0,2,0,0,0,1,0,0
"MYO18B",0,1,3,0,0,14,2,0,23
"LOC110256609",0,0,0,0,0,0,0,0,0
"SEZ6L",0,0,10,0,12,40,10,0,20
"ASPHD2",20,48,20,70,35,44,24,73,68
"HPS4",175,208,410,211,227,190,153,259,336
"SRRD",7,9,25,28,0,13,13,8,30
"TFIP11",283,209,162,72,80,88,229,353,367
"LOC102159997",0,0,0,0,0,0,0,0,0
"TPST2",120,167,384,317,148,279,180,331,378
"LOC106505959",0,0,0,0,0,0,0,0,0
"CRYBB1",22,0,18,7,0,8,0,3,15
"CRYBA4",0,20,63,34,0,15,7,17,75
"LOC102160252",10,7,38,10,0,0,10,8,5
"LOC110256761",5,0,0,0,0,9,0,0,0
"MN1",30,58,51,45,55,101,20,43,40
