"","C001H","C002H","C003H","C004H","C005H","C006H","C007H","C008H","C009H"
"SGK1",8952,5096,5315,8781,5692,6859,6166,17790,11459
"SLC2A12",24,23,47,25,86,44,42,33,8
"TBPL1",254,79,134,72,160,265,212,281,338
"TCF21",250,251,394,285,205,347,406,467,488
"EYA4",3,2,0,0,43,0,2,0,10
"LOC106507477",0,0,7,9,16,0,2,0,0
"LOC102166614",0,0,11,18,0,32,5,0,0
"RPS12",13629,22680,27145,14073,16319,18784,16292,20906,23849
"SLC18B1",295,401,686,213,169,221,280,283,730
"VNN2",11,37,43,0,0,13,56,8,54
"VNN3",9,7,0,0,0,0,64,0,0
"VNN1",4,0,3,0,0,13,22,0,0
"TAAR1",0,22,7,20,0,0,13,16,11
"TAAR2",0,0,0,0,0,0,0,0,0
"TAAR3",0,0,0,0,0,0,0,0,0
"TAAR4",0,0,0,0,0,0,0,0,0
"TAAR5",0,0,0,0,0,0,0,0,0
"LOC100156866",0,0,0,0,0,0,0,0,0
"LOC100154422",0,0,0,0,0,0,0,0,0
"LOC100154406",0,0,0,0,0,0,0,0,0
"LOC100155663",0,0,0,0,0,0,0,0,0
"LOC100153216",0,0,0,0,0,0,0,0,0
"LOC100152013",0,0,0,0,0,0,0,0,0
"STX7",1336,2042,2608,1486,1722,1494,1956,2182,2408
"LOC110260060",11,0,1,17,0,17,6,18,6
"MOXD1",15,22,9,27,41,33,9,24,43
"CTGF",1373,1393,992,2134,2729,921,1050,893,1897
"ENPP1",131,173,188,146,212,252,181,159,217
"ENPP3",73,72,653,93,252,114,210,313,177
"MED23",423,571,569,458,397,878,496,572,899
"ARG1",96,20,30,80,0,10,246,443,0
"LOC106508846",0,0,4,0,0,0,0,0,0
"AKAP7",733,765,1190,1433,206,863,851,689,967
"LOC106508847",234,73,226,144,41,146,100,84,105
"EPB41L2",482,534,530,394,446,528,594,660,1048
"SMLR1",0,65,210,29,0,0,5,4,0
"TMEM200A",46,16,16,23,0,23,9,4,4
"SAMD3",11,4,7,12,0,33,11,26,43
"L3MBTL3",113,60,111,93,55,186,89,43,218
"LOC110260143",0,0,0,0,0,0,0,0,0
"TMEM244",6,2,3,19,0,4,2,10,12
"ARHGAP18",521,463,487,269,474,296,443,522,439
"LOC106508849",12,1,26,28,0,0,2,9,0
"LAMA2",200,289,180,270,202,313,140,169,315
"LOC102159312",0,0,0,0,0,0,0,0,0
"LOC110260185",0,0,0,0,0,0,1,0,0
"PTPRK",933,1267,1994,1201,1095,1179,1280,1335,1744
"LOC110256645",7,23,9,0,0,0,0,0,0
"THEMIS",22,27,17,6,39,17,43,61,25
"LOC110259407",0,0,0,0,0,0,0,0,0
"LOC100511607",0,0,0,0,0,0,0,0,0
"LOC100512146",5,58,74,0,0,10,1,0,67
"SOGA3",0,0,5,0,0,0,0,9,0
"KIAA0408",54,60,34,41,38,86,15,29,19
"ECHDC1",810,669,633,860,569,667,718,710,1460
"RNF146",1197,1243,1223,858,738,597,1470,1922,1570
"LOC110260186",0,0,0,0,0,0,0,0,0
"RSPO3",14,8,11,0,21,19,7,0,16
"LOC110260187",0,0,6,11,0,25,5,0,7
"CENPW",141,93,155,39,51,93,87,60,181
"LOC106508855",0,0,0,0,0,0,0,0,0
"LOC106508854",0,0,2,12,0,14,4,0,4
"TRMT11",78,103,110,60,114,69,76,87,116
"HINT3",296,195,188,159,225,153,225,228,285
"NCOA7",440,256,318,206,487,391,702,337,513
"LOC110260188",0,5,37,1,0,7,10,4,0
"TRNAE-CUC",0,0,0,0,0,0,0,0,0
"HEY2",42,68,99,43,38,68,49,77,74
"LOC110260189",0,3,4,1,0,1,5,0,0
"HDDC2",360,386,342,313,327,335,275,303,486
"TPD52L1",12,0,1,0,0,6,4,0,2
"RNF217",126,140,169,196,130,216,89,155,170
"LOC110256655",0,0,0,0,0,0,0,0,0
"NKAIN2",0,0,7,19,33,4,19,0,36
"LOC102165447",0,0,0,0,0,0,0,0,0
"LOC106508857",0,2,11,25,1,17,2,0,10
"TRDN",0,0,14,0,0,19,2,0,0
"LOC102166321",0,0,7,0,0,19,2,0,0
"LOC110260190",0,0,0,0,0,0,0,0,0
"CLVS2",0,12,7,0,0,61,0,0,23
"SMPDL3A",963,1445,2662,1327,1246,1735,1372,2190,2888
"FABP7",0,0,11,0,0,4,1,9,0
"PKIB",443,720,1098,826,584,903,736,704,807
"LOC102157594",0,0,7,0,0,0,0,0,0
"SERINC1",3147,3309,2849,3100,3000,2860,3319,4134,6682
"HSF2",140,162,149,144,198,93,131,177,282
"LOC110260218",0,0,0,0,0,14,0,0,0
"LOC102158650",0,0,0,0,0,0,0,0,8
"GJA1",2856,2664,2554,1990,3021,2739,2900,2536,4044
"TBC1D32",27,46,52,63,10,59,73,39,134
"LOC106507559",0,6,0,0,0,0,0,0,0
"LOC106506546",0,0,0,0,0,0,0,0,0
"MAN1A1",825,983,1207,1080,842,947,837,695,1478
"FAM184A",0,0,8,0,23,0,0,7,0
"MCM9",66,37,60,38,22,77,52,35,62
"ASF1A",231,225,186,0,177,92,154,234,271
"LOC110260244",0,5,7,0,0,23,3,0,19
"LOC110260246",0,2,28,35,0,17,5,1,0
"CEP85L",64,149,111,31,27,57,86,111,116
"PLN",763,567,421,790,546,641,330,894,965
"SLC35F1",0,5,5,0,0,34,15,11,8
"LOC110260250",47,88,58,63,54,126,86,59,25
"NUS1",1691,2055,2885,2423,2046,1555,2578,2593,2874
"LOC100520342",4,0,8,0,0,0,0,0,0
"GOPC",689,780,625,481,489,493,945,1048,1120
"DCBLD1",483,430,406,267,348,233,491,590,1023
"ROS1",28,142,390,38,32,99,112,94,293
"LOC110260270",0,0,2,0,0,0,0,0,0
"VGLL2",0,0,9,0,0,0,1,0,7
"RFX6",0,3,14,0,0,0,3,0,0
"LOC110260274",3,0,3,11,0,0,0,0,35
"GPRC6A",0,0,3,0,0,0,0,0,0
"FAM162B",5,25,34,91,105,60,24,54,41
"LOC100523874",1,0,7,0,3,18,2,1,1
"KPNA5",81,107,107,14,101,188,124,113,214
"ZUFSP",335,361,574,350,347,253,339,375,551
"RSPH4A",0,0,2,0,0,0,0,0,0
"LOC102160776",31,38,142,0,60,13,19,17,12
"LOC106508867",8,0,0,0,0,0,0,0,16
"LOC102161201",313,235,357,432,237,94,130,487,189
"PTP4A1",12386,11118,7795,7048,8531,7834,15255,22502,15660
"PHF3",664,525,369,349,438,186,449,854,740
"EYS",0,0,0,0,0,11,0,1,9
"LOC106508869",0,2,0,0,0,6,0,0,0
"LOC110256669",0,0,0,0,0,0,0,0,0
"LOC110259411",0,0,0,0,0,0,3,0,0
"ADGRB3",0,0,0,0,0,0,0,0,0
"LOC110256955",0,0,11,0,0,10,2,0,0
"LMBRD1",1130,2054,2145,1094,1024,1148,1823,2001,2813
"LOC110260294",0,0,5,0,0,0,0,0,0
"COL19A1",8,47,54,0,25,38,14,44,56
"COL9A1",0,0,25,11,0,1,1,0,0
"FAM135A",1964,2034,2298,1695,2223,1341,2731,3206,2024
"SMAP1",537,311,442,305,464,187,534,658,887
"B3GAT2",13,2,6,23,12,0,11,21,12
"LOC110256957",0,0,0,0,0,0,0,0,0
"LOC110256958",0,0,0,0,0,0,0,0,0
"OGFRL1",197,308,344,122,204,142,234,275,375
"LOC106508872",0,0,0,0,0,0,0,0,0
"LOC102157778",0,6,14,0,0,0,10,11,7
"MIR30C-2",0,9,0,0,0,0,0,0,0
"MIR30A",4,0,0,22,0,0,0,0,0
"RIMS1",126,210,338,203,70,265,175,162,204
"LOC106508874",0,0,1,4,0,0,0,0,0
"KCNQ5",6,10,18,0,23,31,26,17,41
"LOC100511846",0,3,31,0,0,0,1,17,2
"DPPA5",0,0,0,0,0,13,0,0,0
"KHDC3L",0,0,0,0,21,0,0,0,0
"OOEP",0,0,0,0,0,0,0,0,0
"DDX43",0,0,0,0,0,0,2,0,0
"LOC100622980",544,731,742,649,443,494,759,756,934
"MRAP2",4,15,39,18,0,11,26,38,10
"CEP162",83,58,136,91,47,110,101,133,99
"TBX18",27,0,13,6,10,0,14,28,11
"LOC102157437",3,0,17,0,0,30,0,5,0
"NT5E",348,592,406,721,336,909,469,732,805
"SNX14",2495,3528,3607,2627,2437,2633,3057,2994,3756
"SYNCRIP",1364,1610,1577,851,1315,1535,1659,1323,2486
"LOC102160378",0,0,0,0,0,0,0,0,0
"HTR1E",0,0,0,0,0,0,0,0,7
"LOC100151959",0,6,10,0,0,0,0,2,0
"CGA",4,0,3,0,0,0,2,27,0
"ZNF292",492,553,487,288,288,492,467,412,549
"GJB7",0,0,0,0,0,0,5,0,0
"SMIM8",911,1100,836,748,630,623,710,763,1404
"C1H6orf163",0,0,0,25,0,0,0,0,0
"LOC110260320",0,0,0,0,0,0,0,0,0
"CFAP206",5,0,0,0,0,19,1,10,0
"SLC35A1",800,1092,1274,613,834,878,961,1489,1290
"RARS2",174,73,51,110,60,51,104,76,122
"ORC3",42,81,156,81,124,87,79,90,127
"AKIRIN2",857,904,1052,780,1190,925,1335,1417,1773
"TRNAE-UUC_1",0,0,0,0,0,0,0,0,0
"SPACA1",0,5,2,0,0,0,0,0,0
"CNR1",0,11,15,0,0,9,10,2,20
"LOC100739087",491,1681,1644,1544,1117,913,655,1092,1444
"LOC110256959",0,0,0,0,0,0,0,0,0
"RNGTT",821,411,392,304,258,595,512,770,917
"LOC110260329",0,0,3,0,0,0,1,0,0
"PNRC1",2681,3104,3374,2313,2382,4320,3092,4162,4172
"SRSF12",16,52,25,54,0,52,61,45,5
"PM20D2",1766,1662,1944,1521,1473,905,1159,1485,1999
"GABRR1",6,6,8,0,7,0,0,0,4
"GABRR2",0,17,19,0,0,50,1,27,18
"UBE2J1",367,318,235,357,179,106,403,561,476
"RRAGD",15,24,31,19,0,12,24,41,52
"ANKRD6",26,35,36,45,0,82,51,33,85
"LYRM2",363,704,531,291,354,591,415,457,526
"MDN1",56,49,86,14,51,122,86,42,135
"CASP8AP2",64,149,75,88,47,17,131,147,209
"GJA10",0,15,8,0,7,0,7,31,12
"BACH2",37,29,74,5,0,0,4,5,0
"LOC110260363",0,0,0,0,0,0,0,0,0
"LOC110260365",0,0,2,0,0,0,2,0,8
"LOC102157779",0,0,5,0,0,0,0,11,0
"MAP3K7",654,720,561,365,461,534,625,738,1332
"LOC106508895",0,0,0,0,0,0,6,7,0
"EPHA7",144,101,113,25,253,94,79,51,105
"LOC106508897",0,0,2,0,0,0,0,0,0
"LOC110260379",0,4,1,0,0,29,0,0,0
"MANEA",239,302,601,255,206,214,418,356,482
"LOC110256961",0,0,0,0,0,0,0,0,0
"LOC102159560",0,0,0,0,0,0,0,0,0
"LOC106508899",0,0,0,0,0,0,0,0,0
"LOC110260380",0,0,0,0,0,0,3,0,0
"UFL1",153,172,99,52,60,103,153,89,126
"FHL5",6,42,14,43,0,16,6,14,12
"GPR63",47,27,42,19,20,22,44,70,37
"NDUFAF4",114,90,89,108,116,80,164,224,249
"LOC110260384",0,0,0,0,0,0,0,0,2
"KLHL32",46,34,73,86,45,11,29,33,57
"MMS22L",58,71,89,70,18,82,48,85,111
"LOC102160801",0,12,7,0,15,23,0,0,0
"LOC106508906",0,0,2,29,0,12,2,0,29
"POU3F2",0,5,3,17,21,43,0,0,0
"FBXL4",93,71,219,145,83,152,127,169,217
"FAXC",63,56,75,29,40,100,65,73,122
"COQ3",772,606,631,800,655,694,496,649,1325
"PNISR",1074,1338,1071,926,829,834,934,1099,1348
"USP45",564,362,172,189,200,165,214,511,443
"TSTD3",804,792,920,697,663,400,510,915,1183
"CCNC",2505,2142,1696,3195,2028,2892,2663,4365,5114
"PRDM13",0,0,0,0,16,0,0,0,0
"MCHR2",0,0,0,0,0,0,0,0,0
"LOC100515111",0,0,0,0,0,0,0,0,0
"SIM1",0,6,0,0,0,2,0,0,0
"ASCC3",340,224,345,195,186,376,260,303,658
"LOC110260404",0,0,7,0,0,0,1,0,0
"GRIK2",0,0,4,11,0,13,2,0,13
"LOC110260405",0,0,3,0,0,0,0,0,0
"HACE1",631,478,462,524,173,394,617,548,740
"LIN28B",0,0,0,0,0,0,0,0,0
"LOC110256964",0,0,0,0,0,0,0,0,0
"BVES",26,11,16,0,69,80,14,18,16
"LOC106508909",0,0,0,0,0,0,1,0,0
"POPDC3",18,14,17,52,26,82,12,34,15
"PREP",270,137,317,194,254,213,231,284,621
"LOC110260407",0,0,5,0,0,0,0,0,0
"LOC110260408",1,0,2,9,0,4,0,0,0
"LOC106507207",0,0,0,0,0,0,0,0,0
"PRDM1",1010,494,1144,1010,691,724,2588,1878,1385
"ATG5",1240,1023,630,673,1005,819,1303,1647,1775
"LOC110259431",3,0,10,0,0,8,7,8,4
"CRYBG1",701,390,576,695,490,275,421,707,1155
"RTN4IP1",349,269,285,214,368,330,283,353,428
"QRSL1",563,647,1220,897,931,447,764,671,836
"LOC110260421",0,0,0,0,0,0,0,0,6
"LOC100519934",4875,4980,4577,3744,3312,4592,4516,8277,14451
"LOC100521350",729,1058,1610,1508,1037,502,894,834,1708
"C1H6orf203",569,459,359,250,418,292,378,317,694
"BEND3",31,10,28,68,18,70,53,69,33
"PDSS2",40,10,22,11,13,55,38,41,124
"LOC102159561",0,19,7,9,0,8,6,0,0
"LOC110260430",0,0,3,0,0,17,0,0,0
"SOBP",44,94,173,103,91,189,63,79,119
"LOC102159995",0,25,7,19,0,9,2,7,17
"SCML4",104,63,111,8,79,106,65,73,157
"SEC63",1069,1019,1221,1051,1176,1205,1170,1053,1691
"OSTM1",1094,1059,1478,975,1009,999,1472,1750,1722
"NR2E1",8,0,0,0,0,0,3,0,0
"SNX3",3217,3422,3235,2125,3788,2852,3267,4147,6012
"AFG1L",102,110,162,97,128,81,150,151,359
"FOXO3",2358,2428,2355,3101,1195,989,2573,5898,3337
"LOC106508914",46,50,27,26,16,7,9,45,12
"LOC106508915",9,11,5,6,0,0,10,6,7
"ARMC2",33,57,40,28,0,40,35,53,31
"LOC110260564",0,0,0,0,0,0,0,4,0
"SESN1",3598,3556,3480,3076,1725,1957,2288,6415,3480
"LOC102163847",0,0,0,0,0,0,0,0,0
"LOC106508918",32,24,8,24,23,12,7,6,10
"CEP57L1",112,32,47,76,19,82,63,63,111
"C1H6orf183",34,21,61,25,37,29,27,0,79
"LOC110260563",9,0,1,0,0,2,0,0,0
"CD164",11879,10760,12153,9213,8438,8504,12935,18134,18229
"LOC102164525",0,0,0,0,15,2,6,0,0
"PPIL6",0,6,0,0,0,6,0,0,0
"SMPD2",1142,1154,1395,1179,631,881,1114,1722,2566
"MICAL1",601,740,820,547,600,336,648,1150,885
"ZBTB24",100,98,130,100,68,65,135,135,165
"AK9",0,0,8,0,0,7,0,0,0
"FIG4",136,149,150,112,125,238,115,196,412
"LOC102157516",0,8,6,14,0,0,0,1,0
"GPR6",0,0,0,0,0,0,0,0,0
"WASF1",4,6,13,0,0,7,8,6,0
"CDC40",385,426,438,221,344,619,429,568,824
"METTL24",88,61,65,35,139,47,36,37,48
"DDO",34,13,30,24,59,28,25,19,21
"SLC22A16",0,0,6,0,0,0,5,13,5
"LOC110260565",0,0,0,0,0,0,0,0,0
"CDK19",109,238,168,95,75,16,91,120,189
"LOC106507578",0,0,0,0,0,0,0,0,0
"AMD1",1129,825,548,375,602,702,824,1251,1674
"GTF3C6",460,561,1401,664,472,550,689,584,932
"RPF2",194,98,164,110,166,183,157,161,121
"SLC16A10",31,62,67,26,35,64,32,31,56
"LOC110260579",18,10,3,0,0,23,1,0,0
"MFSD4B",54,67,31,33,18,48,27,58,21
"REV3L",176,250,124,52,206,179,150,153,374
"LOC102167874",30,57,61,54,16,32,37,95,127
"LOC110260596",32,44,88,88,32,102,25,11,20
"LOC106508920",23,16,17,0,0,0,2,13,13
"TRAF3IP2",547,668,674,1380,459,567,799,929,1419
"LOC106508921",0,21,4,7,0,10,9,0,40
"FYN",112,94,146,93,174,111,148,157,283
"LOC106508922",0,0,9,0,0,0,5,0,0
"LOC102158093",0,0,1,0,0,0,0,5,0
"WISP3",7,7,6,0,12,0,16,0,0
"LOC106508925",0,0,1,0,0,0,0,0,0
"TUBE1",20,12,12,14,0,16,2,25,18
"FAM229B",0,0,0,0,0,0,4,11,6
"LAMA4",1383,1843,1467,1434,1824,2133,1208,1440,2143
"RFPL4B",0,0,0,0,0,0,0,0,0
"LOC102159376",0,7,4,0,0,0,0,0,0
"MARCKS",3364,3855,4101,2072,5175,4542,4702,3734,7310
"HDAC2",1143,1350,982,580,1115,902,1068,1171,1544
"HS3ST5",0,11,18,6,15,23,9,0,8
"LOC110259440",0,21,0,0,0,0,2,0,0
"LOC110256965",0,0,6,0,0,11,0,0,0
"FRK",5599,3459,5087,7077,3648,3995,5772,12021,10897
"NT5DC1",9892,9549,16064,10276,8833,10269,13804,16133,20673
"COL10A1",49,20,12,0,62,0,79,16,96
"TSPYL4",74,58,28,84,19,59,41,32,55
"TSPYL1",489,516,453,313,242,319,383,713,678
"DSE",529,372,566,536,724,904,423,305,711
"FAM26F",42,52,75,48,108,61,50,45,95
"TRAPPC3L",0,0,7,0,0,16,5,0,0
"FAM26E",26,45,63,71,41,61,47,77,63
"FAM26D",0,1,10,0,0,0,0,0,0
"RWDD1",1294,1248,1131,1262,1240,1272,1187,1331,1962
"LOC102162764",0,0,0,0,0,0,0,0,0
"LOC100521054",0,0,0,0,0,0,0,0,0
"LOC100152150",0,0,8,0,0,0,0,0,0
"LGSN",0,7,0,0,0,0,0,0,0
"RIPPLY2",0,20,0,0,0,0,6,0,12
"SNAP91",0,15,12,31,21,11,20,0,0
"PRSS35",17,9,29,47,46,41,30,35,33
"ME1",794,552,1483,784,484,630,725,421,2054
"RWDD2A",39,4,28,0,35,44,13,22,73
"PGM3",804,826,635,478,873,449,901,865,1559
"DOPEY1",312,261,292,271,252,319,395,351,408
"UBE3D",31,15,43,15,18,57,19,33,14
"LOC110260698",0,0,0,11,0,0,0,0,0
"LOC110260701",5,0,8,0,0,23,7,0,4
"TPBG",55,38,22,38,0,15,54,10,63
"IBTK",753,702,405,625,407,667,512,697,1077
"RPL18",0,0,24,0,0,20,5,0,9
"FAM46A",3142,3068,3341,5044,2399,2895,5059,6409,5060
"LOC110260709",0,0,12,0,0,0,0,0,0
"BCKDHB",804,758,607,525,509,712,549,397,1205
"TTK",72,188,122,32,29,87,80,56,79
"ELOVL4",69,65,46,37,55,93,56,26,122
"SH3BGRL2",5358,5137,6903,7484,4540,5793,7330,10477,14726
"LCA5",0,4,1,20,16,10,3,0,5
"LOC110260718",0,0,0,0,0,0,0,0,0
"LOC110260719",4,0,1,21,0,0,1,0,0
"HMGN3",912,963,1091,706,1158,958,778,755,1307
"PHIP",348,531,502,337,339,232,344,419,628
"IRAK1BP1",126,128,120,77,42,149,86,54,163
"LOC106508944",0,0,0,0,0,0,0,7,0
"LOC110260728",0,0,0,0,0,0,0,0,0
"MEI4",0,0,0,0,0,0,15,0,0
"TRNAA-AGC",0,0,0,0,0,0,0,0,0
"HTR1B",1,1,4,0,0,6,12,9,10
"IMPG1",0,4,0,0,0,0,5,0,0
"MYO6",2345,2559,1713,2671,2025,894,2450,3347,4256
"SENP6",1052,1268,1120,870,626,944,1084,1599,1399
"FILIP1",68,69,58,54,130,108,79,30,74
"TMEM30A",4013,4310,4186,3489,3685,4633,4493,5830,8920
"COX7A2",6491,5686,8075,8020,7497,4845,7396,8097,12598
"COL12A1",1995,2741,4429,4199,2574,3317,3247,2426,4418
"CD109",161,269,288,163,273,210,152,205,317
"LOC106506626",0,9,10,0,0,20,2,5,0
"SLC17A5",412,217,151,166,202,267,222,234,390
"EEF1A1",81941,123045,158244,116590,104179,107846,103269,102928,114859
"MTO1",96,106,46,73,115,81,70,122,208
"MB21D1",190,109,223,134,67,167,175,67,224
"LOC110256969",0,0,0,0,0,0,0,0,0
"LOC110256971",0,0,0,0,0,0,0,0,0
"LOC110259458",0,0,0,0,0,0,0,0,0
"LOC110256972",0,0,0,0,0,0,0,0,0
"LOC110256976",0,0,0,0,0,0,0,0,0
"LOC110259469",0,0,0,0,0,0,0,0,0
"LOC110259472",0,0,0,0,0,0,0,0,0
"SETBP1",51,55,30,59,44,66,58,23,60
"LOC110260756",16,0,21,9,20,35,4,13,0
"SLC14A2",0,0,0,9,0,5,1,0,0
"SLC14A1",1197,433,199,4065,153,3220,3496,1618,6963
"SIGLEC15",69,43,20,67,0,118,127,82,241
"EPG5",252,254,203,150,181,219,192,289,399
"PSTPIP2",87,18,28,0,92,29,51,51,128
"ATP5A1",11656,10147,9453,7671,9791,6580,10037,9276,20744
"HAUS1",209,173,359,263,261,192,230,286,422
"C1H18orf25",264,215,213,198,143,245,331,433,407
"RNF165",15,20,33,48,75,46,14,8,0
"LOXHD1",0,20,13,0,0,0,0,0,7
"ST8SIA5",0,0,15,0,16,11,0,2,0
"PIAS2",277,263,237,158,147,188,215,276,339
"KATNAL2",0,12,12,0,0,0,4,0,0
"LOC110260788",0,0,0,0,0,0,0,0,0
"HDHD2",178,161,243,115,208,142,213,168,258
"IER3IP1",2982,3626,3455,2866,2724,3210,3104,2830,5251
"SKOR2",0,0,0,0,0,0,0,0,0
"SMAD2",508,527,536,516,399,348,558,774,879
"ZBTB7C",118,139,280,224,244,100,199,103,175
"LOC106508955",0,0,0,0,0,0,0,0,0
"CTIF",141,56,97,32,40,42,91,98,249
"TRNAD-GUC",0,0,0,0,0,0,0,0,0
"SMAD7",369,570,590,639,350,383,617,926,1216
"DYM",251,418,290,286,344,330,339,393,604
"C1H18orf32",2115,3333,3362,3127,2245,2729,2442,2958,4031
"RPL17",54081,99146,107744,92738,66753,118881,55668,77676,108723
"LIPG",8,0,33,0,0,17,21,0,23
"ACAA2",409,430,230,150,318,230,252,381,500
"LOC102158467",0,9,6,19,0,50,3,0,19
"MYO5B",1806,1209,2508,2349,1191,881,1886,3329,3952
"CFAP53",0,0,0,0,0,0,0,0,0
"MBD1",546,630,583,346,386,351,453,623,519
"CXXC1",542,574,595,557,221,211,480,781,882
"SKA1",79,93,82,15,117,99,68,84,155
"MAPK4",21,39,32,0,0,11,12,23,95
"LOC110260876",0,0,0,0,0,0,0,0,0
"MRO",0,3,0,0,0,0,1,0,28
"ME2",616,553,580,369,620,409,561,641,864
"ELAC1",38,95,139,94,87,187,81,135,94
"SMAD4",1818,2556,2499,2161,2167,2314,2004,2250,3144
"LOC102159046",7,0,0,0,0,0,4,0,0
"LOC106506676",0,0,0,0,0,13,0,0,0
"MEX3C",18,31,21,0,0,5,60,12,94
"LOC110256981",0,0,0,0,0,0,0,0,0
"LOC110256982",0,0,0,0,0,0,0,0,0
"DCC",1,3,11,24,37,45,3,6,0
"LOC106508959",0,0,0,0,0,0,0,0,0
"MBD2",704,800,726,623,560,766,830,986,1563
"POLI",68,45,59,87,47,96,72,20,52
"STARD6",4,8,14,0,0,0,14,9,0
"C1H18orf54",36,74,56,44,19,69,61,29,43
"LOC102160380",1211,451,837,169,7512,355,3467,696,1727
"LOC110259490",0,0,3,0,0,0,0,0,0
"LOC106508962",0,1,5,0,0,0,3,0,2
"RAB27B",299,539,408,248,328,381,488,601,1081
"CCDC68",538,351,505,337,490,504,680,707,868
"TCF4",48,36,83,18,53,90,26,93,69
"LOC110256984",0,0,0,0,0,0,0,0,0
"LOC110256985",0,0,0,0,0,0,0,0,0
"TXNL1",3019,3718,1836,1981,2148,2301,2724,3807,4654
"WDR7",149,144,204,69,153,101,147,246,209
"LOC102164252",8,0,15,12,0,33,2,1,9
"ST8SIA3",0,7,2,0,0,8,2,3,0
"ONECUT2",0,0,10,24,0,0,6,0,6
"FECH",144,201,233,192,179,126,160,215,167
"LOC110260892",0,0,0,0,0,0,0,0,0
"NARS",790,591,385,148,327,542,686,888,1039
"MTFMT",281,285,371,263,510,166,307,347,507
"SPG21",399,322,476,263,281,208,404,580,824
"ANKDD1A",16,41,1,0,0,15,13,25,6
"LOC100737265",2,0,0,2,0,1,0,1,3
"PLEKHO2",53,79,118,51,107,32,96,125,149
"PIF1",68,26,43,43,0,13,26,10,71
"LOC110260912",0,0,0,0,0,0,0,0,0
"RBPMS2",125,193,187,88,288,163,127,142,253
"OAZ2",522,312,301,203,235,90,258,559,486
"ZNF609",644,479,597,607,717,325,572,1076,1104
"LOC102168143",0,0,14,0,0,0,5,0,0
"TRIP4",231,183,254,181,298,148,205,227,525
"PCLAF",1983,1628,3522,2823,2090,1915,2215,1949,3079
"CSNK1G1",237,178,312,167,88,168,138,274,328
"PPIB",524,422,363,232,400,393,447,331,531
"SNX22",35,53,119,43,10,47,40,47,51
"SNX1",729,862,745,463,808,515,848,1015,1460
"FAM96A",2631,3411,2941,1117,2106,2312,2191,2544,3520
"DAPK2",124,34,67,169,11,154,48,52,222
"HERC1",665,469,587,470,320,307,504,594,780
"FBXL22",110,123,179,148,91,137,76,87,185
"USP3",374,446,325,311,398,215,394,565,606
"APH1B",93,116,179,112,107,81,92,143,151
"LOC110260967",21,26,83,37,0,23,20,39,10
"CA12",5987,3573,3531,6288,1225,1752,1353,12888,4974
"RAB8B",1267,999,1044,904,782,1313,1145,1633,2369
"RPS27L",775,1137,1475,711,795,1365,1041,901,1845
"LACTB",149,138,130,51,175,105,144,92,131
"LOC102163023",0,0,0,0,0,0,9,13,23
"LOC110260973",0,2,1,0,14,82,0,10,0
"TPM1",19389,15775,16932,12689,18449,30636,13085,14460,29249
"LOC102163170",0,0,0,0,0,0,0,0,0
"TLN2",265,257,554,275,168,148,522,883,117
"MIR190A",0,0,0,0,0,0,0,0,0
"LOC102164011",7,0,25,0,17,19,5,0,0
"C2CD4B",58,31,49,70,96,3,95,75,151
"LOC100152206",12,60,47,21,23,10,30,8,26
"VPS13C",231,437,442,204,272,357,328,301,397
"LOC100520817",0,23,28,12,10,12,23,12,28
"LOC110260990",0,0,0,0,0,0,0,0,0
"RORA",88,69,108,60,151,86,104,106,63
"ICE2",100,151,184,50,119,75,122,131,313
"LOC106508978",0,0,3,0,0,0,0,0,0
"ANXA2",7599,5821,5819,10860,4669,7065,7909,10258,20800
"LOC110260996",0,0,8,4,0,0,0,0,0
"FOXB1",0,0,0,0,0,0,0,0,0
"BNIP2",1025,757,849,604,870,972,847,635,1159
"GTF2A2",1356,1567,2046,1749,1733,1834,1344,1380,1982
"GCNT3",6275,3588,5311,4190,9529,5410,16444,9245,20054
"FAM81A",56,29,54,17,0,15,10,51,52
"MYO1E",2126,1315,967,1759,856,663,1091,4061,2781
"CCNB2",260,138,110,31,149,67,126,89,243
"RNF111",370,622,631,424,470,400,610,684,840
"SLTM",554,703,957,590,344,328,520,836,554
"MINDY2",375,443,237,105,366,362,341,298,356
"ADAM10",237,86,172,100,87,61,319,292,408
"LOC100523526",63,351,305,178,139,392,221,263,390
"LOC102158936",3,4,14,0,0,28,8,0,19
"LIPC",7,13,27,37,0,15,9,0,23
"AQP9",0,1,0,5,17,0,2,0,2
"ALDH1A2",20,4,45,0,46,34,150,38,25
"LOC102160341",0,0,0,0,0,0,1,0,0
"POLR2M",307,354,271,198,262,296,323,261,530
"LOC102160652",26,30,41,32,0,24,22,27,31
"MYZAP",1119,868,459,1092,399,587,633,1762,1765
"CGNL1",54,133,176,65,108,104,96,96,158
"TCF12",561,565,773,793,642,761,658,588,922
"ZNF280D",105,167,134,142,53,162,103,61,220
"LOC110261024",9,0,3,0,0,0,0,6,0
"MNS1",0,5,8,3,25,0,4,3,26
"TEX9",38,15,31,27,0,49,34,15,7
"RFX7",424,492,560,249,534,386,400,656,594
"LOC110261037",0,0,0,0,0,0,0,0,0
"NEDD4",307,358,146,103,200,107,170,343,192
"PRTG",13,0,4,0,0,23,4,9,9
"PYGO1",101,272,322,361,94,378,217,130,247
"DNAAF4",3,0,7,0,0,8,13,13,8
