"","C001H","C002H","C004H","C005H","C006H","C007H","C008H","C009H"
"FYN",112,94,93,174,111,148,157,283
"LOC106508922",0,0,0,0,0,5,0,0
"LOC102158093",0,0,0,0,0,0,5,0
"WISP3",7,7,0,12,0,16,0,0
"LOC106508925",0,0,0,0,0,0,0,0
"TUBE1",20,12,14,0,16,2,25,18
"FAM229B",0,0,0,0,0,4,11,6
"LAMA4",1383,1843,1434,1824,2133,1208,1440,2143
"LOC102159376",0,7,0,0,0,0,0,0
"MARCKS",3364,3855,2072,5175,4542,4702,3734,7310
"HDAC2",1143,1350,580,1115,902,1068,1171,1544
"HS3ST5",0,11,6,15,23,9,0,8
"LOC110259440",0,21,0,0,0,2,0,0
"LOC110256965",0,0,0,0,11,0,0,0
"FRK",5599,3459,7077,3648,3995,5772,12021,10897
"NT5DC1",9892,9549,10276,8833,10269,13804,16133,20673
"COL10A1",49,20,0,62,0,79,16,96
"TSPYL4",74,58,84,19,59,41,32,55
"TSPYL1",489,516,313,242,319,383,713,678
"DSE",529,372,536,724,904,423,305,711
"FAM26F",42,52,48,108,61,50,45,95
"TRAPPC3L",0,0,0,0,16,5,0,0
"FAM26E",26,45,71,41,61,47,77,63
"FAM26D",0,1,0,0,0,0,0,0
"RWDD1",1294,1248,1262,1240,1272,1187,1331,1962
"LOC100152150",0,0,0,0,0,0,0,0
"LGSN",0,7,0,0,0,0,0,0
"RIPPLY2",0,20,0,0,0,6,0,12
"SNAP91",0,15,31,21,11,20,0,0
"PRSS35",17,9,47,46,41,30,35,33
"ME1",794,552,784,484,630,725,421,2054
"RWDD2A",39,4,0,35,44,13,22,73
"PGM3",804,826,478,873,449,901,865,1559
"DOPEY1",312,261,271,252,319,395,351,408
"UBE3D",31,15,15,18,57,19,33,14
"LOC110260698",0,0,11,0,0,0,0,0
"LOC110260701",5,0,0,0,23,7,0,4
"TPBG",55,38,38,0,15,54,10,63
"IBTK",753,702,625,407,667,512,697,1077
"RPL18",0,0,0,0,20,5,0,9
"FAM46A",3142,3068,5044,2399,2895,5059,6409,5060
"LOC110260709",0,0,0,0,0,0,0,0
"BCKDHB",804,758,525,509,712,549,397,1205
"TTK",72,188,32,29,87,80,56,79
"ELOVL4",69,65,37,55,93,56,26,122
"SH3BGRL2",5358,5137,7484,4540,5793,7330,10477,14726
"LCA5",0,4,20,16,10,3,0,5
"LOC110260719",4,0,21,0,0,1,0,0
"HMGN3",912,963,706,1158,958,778,755,1307
"PHIP",348,531,337,339,232,344,419,628
"IRAK1BP1",126,128,77,42,149,86,54,163
"LOC106508944",0,0,0,0,0,0,7,0
"MEI4",0,0,0,0,0,15,0,0
